# Tsang & Jones fit to French et al. as a function of pressure.
# The pressure profile is taken for a 1 MJ planet with no irradiation and no Ohmic heating at ~5 Gyr.
#
# INDEX       RADIUS [RP]          PRESSURE        SIGMA1_LOG      SIGMA1_TSANG
    166   0.994576531E+00   0.466683323E+09   0.207178835E+12   0.482640246E+06
    167   0.994483738E+00   0.489441791E+09   0.208511101E+12   0.495735064E+06
    168   0.994389534E+00   0.513282203E+09   0.209872379E+12   0.509391248E+06
    169   0.994293893E+00   0.538255350E+09   0.211263536E+12   0.523639685E+06
    170   0.994196783E+00   0.564414365E+09   0.212685469E+12   0.538513263E+06
    171   0.994098178E+00   0.591814831E+09   0.214139105E+12   0.554047010E+06
    172   0.993998047E+00   0.620514891E+09   0.215625397E+12   0.570278238E+06
    173   0.993896361E+00   0.650575369E+09   0.217145325E+12   0.587246675E+06
    174   0.993793091E+00   0.682059891E+09   0.218699896E+12   0.604994629E+06
    175   0.993688208E+00   0.715035015E+09   0.220290143E+12   0.623567201E+06
    176   0.993581683E+00   0.749570364E+09   0.221917138E+12   0.643012546E+06
    177   0.993473483E+00   0.785738765E+09   0.223581991E+12   0.663382205E+06
    178   0.993363579E+00   0.823616392E+09   0.225285864E+12   0.684731417E+06
    179   0.993251938E+00   0.863282917E+09   0.227029970E+12   0.707119454E+06
    180   0.993138525E+00   0.904821671E+09   0.228815575E+12   0.730609926E+06
    181   0.993023305E+00   0.948319805E+09   0.230644000E+12   0.755271130E+06
    182   0.992906244E+00   0.993868466E+09   0.232516619E+12   0.781176449E+06
    183   0.992787304E+00   0.104156298E+10   0.234434870E+12   0.808404806E+06
    184   0.992666446E+00   0.109150303E+10   0.236400252E+12   0.837041144E+06
    185   0.992543632E+00   0.114379287E+10   0.238414328E+12   0.867176939E+06
    186   0.992418822E+00   0.119854153E+10   0.240478730E+12   0.898910752E+06
    187   0.992291973E+00   0.125586302E+10   0.242595160E+12   0.932348891E+06
    188   0.992163043E+00   0.131587652E+10   0.244765394E+12   0.967606093E+06
    189   0.992031990E+00   0.137870669E+10   0.246991283E+12   0.100480623E+07
    190   0.991898768E+00   0.144448385E+10   0.249274752E+12   0.104408309E+07
    191   0.991763332E+00   0.151334422E+10   0.251617801E+12   0.108558123E+07
    192   0.991625637E+00   0.158543025E+10   0.254022513E+12   0.112945702E+07
    193   0.991485636E+00   0.166089080E+10   0.256491060E+12   0.117587981E+07
    194   0.991343282E+00   0.173988153E+10   0.259025709E+12   0.122503315E+07
    195   0.991198524E+00   0.182256511E+10   0.261628828E+12   0.127711626E+07
    196   0.991051313E+00   0.190911157E+10   0.264302892E+12   0.133234546E+07
    197   0.990901598E+00   0.199969864E+10   0.267050491E+12   0.139095603E+07
    198   0.990749324E+00   0.209451207E+10   0.269874336E+12   0.145320395E+07
    199   0.990594438E+00   0.219374599E+10   0.272777264E+12   0.151936811E+07
    200   0.990436884E+00   0.229760331E+10   0.275762249E+12   0.158975260E+07
    201   0.990276602E+00   0.240629604E+10   0.278832406E+12   0.166468940E+07
    202   0.990113535E+00   0.252004578E+10   0.281991007E+12   0.174454135E+07
    203   0.989947621E+00   0.263908408E+10   0.285241484E+12   0.182970531E+07
    204   0.989778797E+00   0.276365291E+10   0.288587431E+12   0.192061573E+07
    205   0.989606999E+00   0.289400513E+10   0.292032615E+12   0.201774859E+07
    206   0.989432161E+00   0.303040491E+10   0.295580987E+12   0.212162600E+07
    207   0.989254216E+00   0.317312830E+10   0.299236691E+12   0.223282140E+07
    208   0.989073094E+00   0.332246374E+10   0.303004086E+12   0.235196531E+07
    209   0.988888725E+00   0.347871258E+10   0.306887759E+12   0.247975215E+07
    210   0.988701034E+00   0.364218969E+10   0.310892543E+12   0.261694765E+07
    211   0.988509944E+00   0.381322404E+10   0.315023538E+12   0.276439729E+07
    212   0.988315376E+00   0.399215933E+10   0.319286121E+12   0.292303574E+07
    213   0.988117249E+00   0.417935467E+10   0.323685961E+12   0.309389722E+07
    214   0.987915478E+00   0.437518521E+10   0.328229023E+12   0.327812736E+07
    215   0.987709978E+00   0.458004289E+10   0.332921597E+12   0.347699681E+07
    216   0.987500662E+00   0.479433712E+10   0.337770308E+12   0.369191663E+07
    217   0.987287438E+00   0.501849557E+10   0.342782145E+12   0.392445592E+07
    218   0.987070214E+00   0.525296493E+10   0.347964477E+12   0.417636169E+07
    219   0.986848895E+00   0.549821174E+10   0.353325073E+12   0.444958142E+07
    220   0.986623386E+00   0.575472321E+10   0.358872126E+12   0.474628888E+07
    221   0.986393588E+00   0.602300814E+10   0.364614282E+12   0.506891377E+07
    222   0.986159400E+00   0.630359781E+10   0.370560668E+12   0.542017591E+07
    223   0.985920719E+00   0.659704698E+10   0.376720935E+12   0.580312444E+07
    224   0.985677439E+00   0.690393489E+10   0.383105290E+12   0.622118306E+07
    225   0.985429452E+00   0.722486634E+10   0.389724541E+12   0.667820219E+07
    226   0.985176647E+00   0.756047279E+10   0.396590148E+12   0.717851930E+07
    227   0.984918907E+00   0.791141353E+10   0.403714267E+12   0.772702870E+07
    228   0.984656116E+00   0.827837691E+10   0.411109808E+12   0.832926240E+07
    229   0.984388150E+00   0.866208154E+10   0.418790493E+12   0.899148398E+07
    230   0.984114884E+00   0.906327765E+10   0.426770912E+12   0.972079759E+07
    231   0.983836186E+00   0.948274843E+10   0.435066594E+12   0.105252751E+08
    232   0.983551923E+00   0.992131140E+10   0.443694071E+12   0.114141044E+08
    233   0.983261956E+00   0.103798199E+11   0.452670955E+12   0.123977621E+08
    234   0.982966143E+00   0.108591648E+11   0.462016000E+12   0.134882146E+08
    235   0.982664339E+00   0.113602757E+11   0.471749176E+12   0.146991540E+08
    236   0.982356394E+00   0.118841229E+11   0.481891748E+12   0.160462745E+08
    237   0.982042158E+00   0.124317191E+11   0.492466369E+12   0.175475977E+08
    238   0.981721476E+00   0.130041212E+11   0.503497177E+12   0.192238578E+08
    239   0.981394191E+00   0.136024321E+11   0.515009926E+12   0.210989573E+08
    240   0.981060141E+00   0.142278028E+11   0.527032113E+12   0.232005080E+08
    241   0.980719163E+00   0.148814345E+11   0.539593135E+12   0.255604741E+08
    242   0.980371088E+00   0.155645806E+11   0.552724463E+12   0.282159415E+08
    243   0.980015740E+00   0.162785490E+11   0.566459836E+12   0.312100358E+08
    244   0.979652940E+00   0.170247046E+11   0.580835458E+12   0.345930204E+08
    245   0.979282502E+00   0.178044717E+11   0.595890217E+12   0.384236134E+08
    246   0.978904235E+00   0.186193363E+11   0.611665908E+12   0.427705690E+08
    247   0.978517941E+00   0.194708491E+11   0.628207460E+12   0.477145749E+08
