# Tsang & Jones fit to French et al. as a function of pressure.
# The pressure profile is taken for a 1 MJ planet with no irradiation and no Ohmic heating at ~5 Gyr.
#
#      INDEX          RADIUS [RP]            PRESSURE [cgs]               SIGMA [cgs]
          38  0.98770997800000004        4580042890.0000000        3476996.8100000001     
          39  0.98750066199999997        4794337120.0000000        3691916.6299999999     
          40  0.98728743799999996        5018495570.0000000        3924455.9199999999     
          41  0.98707021399999995        5252964930.0000000        4176361.6899999999     
          42  0.98684889499999995        5498211740.0000000        4449581.4199999999     
          43  0.98662338599999999        5754723210.0000000        4746288.8799999999     
          44  0.98639358799999999        6023008140.0000000        5068913.7699999996     
          45  0.98615940000000002        6303597810.0000000        5420175.9100000001     
          46  0.98592071900000000        6597046980.0000000        5803124.4400000004     
          47  0.98567743900000004        6903934890.0000000        6221183.0599999996     
          48  0.98542945199999998        7224866340.0000000        6678202.1900000004     
          49  0.98517664699999996        7560472790.0000000        7178519.2999999998     
          50  0.98491890699999995        7911413530.0000000        7727028.7000000002     
          51  0.98465611600000003        8278376910.0000000        8329262.4000000004     
          52  0.98438815000000002        8662081540.0000000        8991483.9800000004     
          53  0.98411488400000002        9063277650.0000000        9720797.5899999999     
          54  0.98383618600000000        9482748430.0000000        10525275.100000000     
          55  0.98355192300000005        9921311400.0000000        11414104.400000000     
          56  0.98326195599999999        10379819900.000000        12397762.100000000     
          57  0.98296614299999996        10859164800.000000        13488214.600000000     
          58  0.98266433900000005        11360275700.000000        14699154.000000000     
          59  0.98235639399999997        11884122900.000000        16046274.500000000     
          60  0.98204215800000005        12431719100.000000        17547597.699999999     
          61  0.98172147600000004        13004121200.000000        19223857.800000001     
          62  0.98139419100000003        13602432100.000000        21098957.300000001     
          63  0.98106014100000005        14227802800.000000        23200508.000000000     
          64  0.98071916299999995        14881434500.000000        25560474.100000001     
          65  0.98037108799999995        15564580600.000000        28215941.500000000     
          66  0.98001574000000002        16278549000.000000        31210035.800000001     
